excerpt,fold,utc,week,cluster
unit01/20150829001702_3:42:58,unit_01_10,08h,Aug21,8
unit01/20150829001702_5:42:58,unit_01_10,10h,Aug21,8
unit01/20151006230802_0:51:58,unit_01_10,22h,Oct1,8
unit01/20151006230802_2:51:58,unit_01_10,06h,Oct1,8
unit01/20151006230802_4:51:58,unit_01_10,08h,Oct1,8
unit01/20151006230802_6:51:58,unit_01_10,10h,Oct1,8
unit01/20150914234702_0:12:58,unit_01_10,22h,Sep14,8
unit01/20150914234702_2:12:58,unit_01_10,06h,Sep14,8
unit01/20150914234702_4:12:58,unit_01_10,08h,Sep14,8
unit01/20150914234702_6:12:58,unit_01_10,10h,Sep14,8
unit01/20150819003402_1:25:58,unit_01_10,06h,Aug14,2
unit01/20150819003402_3:25:58,unit_01_10,08h,Aug14,8
unit01/20150819003402_5:25:58,unit_01_10,10h,Aug14,8
unit01/20150821003102_1:28:58,unit_01_10,06h,Aug14,8
unit01/20150821003102_3:28:58,unit_01_10,08h,Aug14,8
unit01/20150821003102_5:28:58,unit_01_10,10h,Aug14,8
unit01/20150912235102_0:08:58,unit_01_10,22h,Sep7,8
unit01/20150912235102_2:08:58,unit_01_10,06h,Sep7,8
unit01/20150912235102_4:08:58,unit_01_10,08h,Sep7,8
unit01/20150912235102_6:08:58,unit_01_10,10h,Sep7,8
unit01/20150930231902_0:40:58,unit_01_10,22h,Oct1,8
unit01/20150930231902_2:40:58,unit_01_10,06h,Oct1,8
unit01/20150930231902_4:40:58,unit_01_10,08h,Oct1,8
unit01/20150930231902_6:40:58,unit_01_10,10h,Oct1,8
unit01/20151017225003_1:09:57,unit_01_10,22h,Oct14,5
unit01/20151017225003_3:09:57,unit_01_10,06h,Oct14,8
unit01/20151017225003_5:09:57,unit_01_10,08h,Oct14,8
unit01/20151017225003_7:09:57,unit_01_10,10h,Oct14,8
unit01/20151015225403_1:05:57,unit_01_10,22h,Oct14,0
unit01/20151015225403_3:05:57,unit_01_10,06h,Oct14,8
unit01/20151015225403_5:05:57,unit_01_10,08h,Oct14,8
unit01/20151015225403_7:05:57,unit_01_10,10h,Oct14,8
unit01/20151018224903_1:10:57,unit_01_10,22h,Oct14,8
unit01/20151018224903_3:10:57,unit_01_10,06h,Oct14,8
unit01/20151018224903_5:10:57,unit_01_10,08h,Oct14,8
unit01/20151018224903_7:10:57,unit_01_10,10h,Oct14,8
unit01/20151014225502_1:04:58,unit_01_10,22h,Oct14,8
unit01/20151014225502_3:04:58,unit_01_10,06h,Oct14,8
unit01/20151014225502_5:04:58,unit_01_10,08h,Oct14,8
unit01/20151014225502_7:04:58,unit_01_10,10h,Oct14,8
unit01/20150921233502_0:24:58,unit_01_10,22h,Sep21,8
unit01/20150921233502_2:24:58,unit_01_10,06h,Sep21,8
unit01/20150921233502_4:24:58,unit_01_10,08h,Sep21,8
unit01/20150921233502_6:24:58,unit_01_10,10h,Sep21,8
unit01/20150903000903_1:50:57,unit_01_10,06h,Sep1,8
unit01/20150903000903_3:50:57,unit_01_10,08h,Sep1,8
unit01/20150903000903_5:50:57,unit_01_10,10h,Sep1,8
unit01/20151016225202_1:07:58,unit_01_10,22h,Oct14,8
unit01/20151016225202_3:07:58,unit_01_10,06h,Oct14,8
unit01/20151016225202_5:07:58,unit_01_10,08h,Oct14,8
unit01/20151016225202_7:07:58,unit_01_10,10h,Oct14,8
unit01/20151010230202_0:57:58,unit_01_10,22h,Oct7,5
unit01/20151010230202_2:57:58,unit_01_10,06h,Oct7,8
unit01/20151010230202_4:57:58,unit_01_10,08h,Oct7,8
unit01/20151010230202_6:57:58,unit_01_10,10h,Oct7,8
unit01/20151007230703_0:52:57,unit_01_10,22h,Oct7,8
unit01/20151007230703_2:52:57,unit_01_10,06h,Oct7,8
unit01/20151007230703_4:52:57,unit_01_10,08h,Oct7,8
unit01/20151007230703_6:52:57,unit_01_10,10h,Oct7,8
unit01/20150908235803_0:01:57,unit_01_10,22h,Sep7,2
unit01/20150908235803_2:01:57,unit_01_10,06h,Sep7,2
unit01/20150908235803_4:01:57,unit_01_10,08h,Sep7,2
unit01/20150908235803_6:01:57,unit_01_10,10h,Sep7,2
unit01/20151020224602_1:13:58,unit_01_10,22h,Oct14,2
unit01/20151020224602_3:13:58,unit_01_10,06h,Oct14,2
unit01/20151020224602_5:13:58,unit_01_10,08h,Oct14,2
unit01/20151020224602_7:13:58,unit_01_10,10h,Oct14,2
unit01/20150925232702_0:32:58,unit_01_10,22h,Sep21,8
unit01/20150925232702_2:32:58,unit_01_10,06h,Sep21,8
unit01/20150925232702_4:32:58,unit_01_10,08h,Sep21,8
unit01/20150925232702_6:32:58,unit_01_10,10h,Sep21,8
unit01/20150906000303_1:56:57,unit_01_10,06h,Sep1,2
unit01/20150906000303_3:56:57,unit_01_10,08h,Sep1,2
unit01/20150906000303_5:56:57,unit_01_10,10h,Sep1,6
unit01/20150928232202_0:37:58,unit_01_10,22h,Sep21,8
unit01/20150928232202_2:37:58,unit_01_10,06h,Sep21,8
unit01/20150928232202_4:37:58,unit_01_10,08h,Sep21,8
unit01/20150928232202_6:37:58,unit_01_10,10h,Sep21,8
unit01/20150826002302_1:36:58,unit_01_10,06h,Aug21,8
unit01/20150826002302_3:36:58,unit_01_10,08h,Aug21,8
unit01/20150826002302_5:36:58,unit_01_10,10h,Aug21,8
unit01/20150920233602_0:23:58,unit_01_10,22h,Sep14,8
unit01/20150920233602_2:23:58,unit_01_10,06h,Sep14,8
unit01/20150920233602_4:23:58,unit_01_10,08h,Sep14,5
unit01/20150920233602_6:23:58,unit_01_10,10h,Sep14,8
unit01/20150915234521_0:14:39,unit_01_10,22h,Sep14,8
unit01/20150915234521_2:14:39,unit_01_10,06h,Sep14,8
unit01/20150915234521_4:14:39,unit_01_10,08h,Sep14,8
unit01/20150915234521_6:14:39,unit_01_10,10h,Sep14,8
unit01/20150825002403_1:35:57,unit_01_10,06h,Aug21,8
unit01/20150825002403_3:35:57,unit_01_10,08h,Aug21,8
unit01/20150825002403_5:35:57,unit_01_10,10h,Aug21,8
unit01/20150822002902_1:30:58,unit_01_10,06h,Aug21,8
unit01/20150822002902_3:30:58,unit_01_10,08h,Aug21,8
unit01/20150822002902_5:30:58,unit_01_10,10h,Aug21,8
unit01/20151001231702_0:42:58,unit_01_10,22h,Oct1,8
unit01/20151001231702_2:42:58,unit_01_10,06h,Oct1,8
unit01/20151001231702_4:42:58,unit_01_10,08h,Oct1,5
unit01/20151001231702_6:42:58,unit_01_10,10h,Oct1,8
unit01/20151002231502_0:44:58,unit_01_10,22h,Oct1,8
unit01/20151002231502_2:44:58,unit_01_10,06h,Oct1,8
unit01/20151002231502_4:44:58,unit_01_10,08h,Oct1,8
unit01/20151002231502_6:44:58,unit_01_10,10h,Oct1,8
unit01/20150926232602_0:33:58,unit_01_10,22h,Sep21,8
unit01/20150926232602_2:33:58,unit_01_10,06h,Sep21,8
unit01/20150926232602_4:33:58,unit_01_10,08h,Sep21,8
unit01/20150926232602_6:33:58,unit_01_10,10h,Sep21,8
unit01/20151005231002_0:49:58,unit_01_10,22h,Oct1,8
unit01/20151005231002_2:49:58,unit_01_10,06h,Oct1,8
unit01/20151005231002_4:49:58,unit_01_10,08h,Oct1,8
unit01/20151005231002_6:49:58,unit_01_10,10h,Oct1,8
unit01/20150913234903_0:10:57,unit_01_10,22h,Sep7,8
unit01/20150913234903_2:10:57,unit_01_10,06h,Sep7,8
unit01/20150913234903_4:10:57,unit_01_10,08h,Sep7,8
unit01/20150913234903_6:10:57,unit_01_10,10h,Sep7,8
unit01/20150909235603_0:03:57,unit_01_10,22h,Sep7,8
unit01/20150909235603_2:03:57,unit_01_10,06h,Sep7,8
unit01/20150909235603_4:03:57,unit_01_10,08h,Sep7,8
unit01/20150909235603_6:03:57,unit_01_10,10h,Sep7,8
unit01/20150918234002_0:19:58,unit_01_10,22h,Sep14,2
unit01/20150918234002_2:19:58,unit_01_10,06h,Sep14,2
unit01/20150918234002_4:19:58,unit_01_10,08h,Sep14,6
unit01/20150918234002_6:19:58,unit_01_10,10h,Sep14,6
unit01/20150901001202_1:47:58,unit_01_10,06h,Sep1,8
unit01/20150901001202_3:47:58,unit_01_10,08h,Sep1,8
unit01/20150901001202_5:47:58,unit_01_10,10h,Sep1,8
unit01/20150917234203_0:17:57,unit_01_10,22h,Sep14,8
unit01/20150917234203_2:17:57,unit_01_10,06h,Sep14,8
unit01/20150917234203_4:17:57,unit_01_10,08h,Sep14,8
unit01/20150917234203_6:17:57,unit_01_10,10h,Sep14,8
unit01/20151008230502_0:54:58,unit_01_10,22h,Oct7,8
unit01/20151008230502_2:54:58,unit_01_10,06h,Oct7,8
unit01/20151008230502_4:54:58,unit_01_10,08h,Oct7,8
unit01/20151008230502_6:54:58,unit_01_10,10h,Oct7,8
unit01/20151019224702_1:12:58,unit_01_10,22h,Oct14,0
unit01/20151019224702_3:12:58,unit_01_10,06h,Oct14,0
unit01/20151019224702_5:12:58,unit_01_10,08h,Oct14,0
unit01/20151019224702_7:12:58,unit_01_10,10h,Oct14,8
unit01/20150902001002_1:49:58,unit_01_10,06h,Sep1,8
unit01/20150902001002_3:49:58,unit_01_10,08h,Sep1,8
unit01/20150902001002_5:49:58,unit_01_10,10h,Sep1,8
unit01/20151009230302_0:56:58,unit_01_10,22h,Oct7,8
unit01/20151009230302_2:56:58,unit_01_10,06h,Oct7,8
unit01/20151009230302_4:56:58,unit_01_10,08h,Oct7,8
unit01/20151009230302_6:56:58,unit_01_10,10h,Oct7,8
unit01/20150828001902_1:40:58,unit_01_10,06h,Aug21,8
unit01/20150828001902_3:40:58,unit_01_10,08h,Aug21,8
unit01/20150828001902_5:40:58,unit_01_10,10h,Aug21,8
unit01/20150816003905_1:20:54,unit_01_10,06h,Aug14,8
unit01/20150816003905_3:20:54,unit_01_10,08h,Aug14,8
unit01/20150816003905_5:20:54,unit_01_10,10h,Aug14,8
unit01/20150827002103_1:38:57,unit_01_10,06h,Aug21,8
unit01/20150827002103_3:38:57,unit_01_10,08h,Aug21,8
unit01/20150827002103_5:38:57,unit_01_10,10h,Aug21,8
unit01/20150929232002_0:39:58,unit_01_10,22h,Sep21,8
unit01/20150929232002_2:39:58,unit_01_10,06h,Sep21,8
unit01/20150929232002_4:39:58,unit_01_10,08h,Sep21,8
unit01/20150929232002_6:39:58,unit_01_10,10h,Sep21,8
unit01/20150907000202_1:57:58,unit_01_10,06h,Sep1,2
unit01/20150907000202_3:57:58,unit_01_10,08h,Sep1,2
unit01/20150907000202_5:57:58,unit_01_10,10h,Sep1,2
unit01/20150815004003_1:19:57,unit_01_10,06h,Aug14,8
unit01/20150815004003_3:19:57,unit_01_10,08h,Aug14,8
unit01/20150815004003_5:19:57,unit_01_10,10h,Aug14,8
unit02/20150822002903_1:30:57,unit02,06h,Aug21,9
unit02/20150822002903_3:30:57,unit02,08h,Aug21,9
unit02/20150822002903_5:30:57,unit02,10h,Aug21,9
unit02/20151028223503_1:24:57,unit02,22h,Oct21,0
unit02/20151028223503_3:24:57,unit02,06h,Oct21,0
unit02/20151028223503_5:24:57,unit02,08h,Oct21,0
unit02/20151028223503_7:24:57,unit02,10h,Oct21,5
unit02/20150923233104_0:28:56,unit02,22h,Sep21,3
unit02/20150923233104_2:28:56,unit02,06h,Sep21,1
unit02/20150923233104_4:28:56,unit02,08h,Sep21,1
unit02/20150923233104_6:28:56,unit02,10h,Sep21,1
unit02/20150908235803_0:01:57,unit02,22h,Sep7,2
unit02/20150908235803_2:01:57,unit02,06h,Sep7,2
unit02/20150908235803_4:01:57,unit02,08h,Sep7,6
unit02/20150908235803_6:01:57,unit02,10h,Sep7,6
unit02/20151026223702_1:22:58,unit02,22h,Oct21,5
unit02/20151026223702_3:22:58,unit02,06h,Oct21,5
unit02/20151026223702_5:22:58,unit02,08h,Oct21,5
unit02/20151026223702_7:22:58,unit02,10h,Oct21,5
unit02/20151021224402_1:15:58,unit02,22h,Oct21,0
unit02/20151021224402_3:15:58,unit02,06h,Oct21,5
unit02/20151021224402_5:15:58,unit02,08h,Oct21,5
unit02/20151021224402_7:15:58,unit02,10h,Oct21,0
unit02/20151023224104_1:18:55,unit02,22h,Oct21,5
unit02/20151023224104_3:18:55,unit02,06h,Oct21,5
unit02/20151023224104_5:18:55,unit02,08h,Oct21,5
unit02/20151023224104_7:18:55,unit02,10h,Oct21,0
unit02/20150912235003_0:09:57,unit02,22h,Sep7,0
unit02/20150912235003_2:09:57,unit02,06h,Sep7,3
unit02/20150912235003_4:09:57,unit02,08h,Sep7,3
unit02/20150912235003_6:09:57,unit02,10h,Sep7,3
unit02/20150904000602_1:53:58,unit02,06h,Sep1,6
unit02/20150904000602_3:53:58,unit02,08h,Sep1,6
unit02/20150904000602_5:53:58,unit02,10h,Sep1,9
unit02/20151103222703_1:32:57,unit02,22h,Nov1,5
unit02/20151103222703_3:32:57,unit02,06h,Nov1,7
unit02/20151103222703_5:32:57,unit02,08h,Nov1,5
unit02/20151103222703_7:32:57,unit02,10h,Nov1,5
unit02/20150927232402_0:35:58,unit02,22h,Sep21,3
unit02/20150927232402_2:35:58,unit02,06h,Sep21,0
unit02/20150927232402_4:35:58,unit02,08h,Sep21,0
unit02/20150927232402_6:35:58,unit02,10h,Sep21,8
unit02/20151018224902_1:10:58,unit02,22h,Oct14,5
unit02/20151018224902_3:10:58,unit02,06h,Oct14,5
unit02/20151018224902_5:10:58,unit02,08h,Oct14,5
unit02/20151018224902_7:10:58,unit02,10h,Oct14,5
unit02/20151010230103_0:58:57,unit02,22h,Oct7,5
unit02/20151010230103_2:58:57,unit02,06h,Oct7,5
unit02/20151010230103_4:58:57,unit02,08h,Oct7,8
unit02/20151010230103_6:58:57,unit02,10h,Oct7,5
unit02/20151029223303_1:26:57,unit02,22h,Oct21,0
unit02/20151029223303_3:26:57,unit02,06h,Oct21,0
unit02/20151029223303_5:26:57,unit02,08h,Oct21,5
unit02/20151029223303_7:26:57,unit02,10h,Oct21,0
unit02/20151001231703_0:42:56,unit02,22h,Oct1,5
unit02/20151001231703_2:42:56,unit02,06h,Oct1,5
unit02/20151001231703_4:42:56,unit02,08h,Oct1,5
unit02/20151001231703_6:42:56,unit02,10h,Oct1,5
unit02/20151102222802_1:31:58,unit02,22h,Nov1,5
unit02/20151102222802_3:31:58,unit02,06h,Nov1,5
unit02/20151102222802_5:31:58,unit02,08h,Nov1,5
unit02/20151102222802_7:31:58,unit02,10h,Nov1,5
unit02/20151017225003_1:09:57,unit02,22h,Oct14,5
unit02/20151017225003_3:09:57,unit02,06h,Oct14,5
unit02/20151017225003_5:09:57,unit02,08h,Oct14,7
unit02/20151017225003_7:09:57,unit02,10h,Oct14,5
unit02/20151008230503_0:54:57,unit02,22h,Oct7,5
unit02/20151008230503_2:54:57,unit02,06h,Oct7,5
unit02/20151008230503_4:54:57,unit02,08h,Oct7,0
unit02/20151008230503_6:54:57,unit02,10h,Oct7,0
unit02/20150922233203_0:27:56,unit02,22h,Sep21,1
unit02/20150922233203_2:27:56,unit02,06h,Sep21,3
unit02/20150922233203_4:27:56,unit02,08h,Sep21,1
unit02/20150922233203_6:27:56,unit02,10h,Sep21,1
unit02/20150902001003_1:49:57,unit02,06h,Sep1,6
unit02/20150902001003_3:49:57,unit02,08h,Sep1,6
unit02/20150902001003_5:49:57,unit02,10h,Sep1,3
unit02/20151101223003_1:29:57,unit02,22h,Nov1,5
unit02/20151101223003_3:29:57,unit02,06h,Nov1,5
unit02/20151101223003_5:29:57,unit02,08h,Nov1,5
unit02/20151101223003_7:29:57,unit02,10h,Nov1,5
unit02/20150924232904_0:30:55,unit02,22h,Sep21,3
unit02/20150924232904_2:30:55,unit02,06h,Sep21,3
unit02/20150924232904_4:30:55,unit02,08h,Sep21,3
unit02/20150924232904_6:30:55,unit02,10h,Sep21,3
unit02/20150829001703_1:42:57,unit02,06h,Aug21,3
unit02/20150829001703_3:42:57,unit02,08h,Aug21,3
unit02/20150829001703_5:42:57,unit02,10h,Aug21,1
unit02/20151116221403_1:45:56,unit02,22h,Nov14,5
unit02/20151116221403_3:45:56,unit02,06h,Nov14,5
unit02/20151116221403_5:45:56,unit02,08h,Nov14,7
unit02/20151116221403_7:45:56,unit02,10h,Nov14,5
unit02/20151013225702_1:02:58,unit02,22h,Oct7,5
unit02/20151013225702_3:02:58,unit02,06h,Oct7,5
unit02/20151013225702_5:02:58,unit02,08h,Oct7,5
unit02/20151013225702_7:02:58,unit02,10h,Oct7,5
unit02/20151119221203_1:47:57,unit02,22h,Nov14,5
unit02/20151119221203_3:47:57,unit02,06h,Nov14,5
unit02/20151119221203_5:47:57,unit02,08h,Nov14,5
unit02/20151119221203_7:47:57,unit02,10h,Nov14,5
unit02/20151113221702_1:42:58,unit02,22h,Nov7,5
unit02/20151113221702_3:42:58,unit02,06h,Nov7,5
unit02/20151113221702_5:42:58,unit02,08h,Nov7,0
unit02/20151113221702_7:42:58,unit02,10h,Nov7,5
unit02/20150816003802_1:21:58,unit02,06h,Aug14,9
unit02/20150816003802_3:21:58,unit02,08h,Aug14,9
unit02/20150816003802_5:21:58,unit02,10h,Aug14,9
unit02/20151022224303_1:16:57,unit02,22h,Oct21,5
unit02/20151022224303_3:16:57,unit02,06h,Oct21,0
unit02/20151022224303_5:16:57,unit02,08h,Oct21,0
unit02/20151022224303_7:16:57,unit02,10h,Oct21,0
unit02/20151002231502_0:44:58,unit02,22h,Oct1,5
unit02/20151002231502_2:44:58,unit02,06h,Oct1,5
unit02/20151002231502_4:44:58,unit02,08h,Oct1,5
unit02/20151002231502_6:44:58,unit02,10h,Oct1,5
unit02/20151106222403_1:35:57,unit02,22h,Nov1,5
unit02/20151106222403_3:35:57,unit02,06h,Nov1,5
unit02/20151106222403_5:35:57,unit02,08h,Nov1,5
unit02/20151106222403_7:35:57,unit02,10h,Nov1,5
unit02/20150925232703_0:32:57,unit02,22h,Sep21,3
unit02/20150925232703_2:32:57,unit02,06h,Sep21,3
unit02/20150925232703_4:32:57,unit02,08h,Sep21,1
unit02/20150925232703_6:32:57,unit02,10h,Sep21,1
unit02/20150826002203_1:37:57,unit02,06h,Aug21,9
unit02/20150826002203_3:37:57,unit02,08h,Aug21,9
unit02/20150826002203_5:37:57,unit02,10h,Aug21,9
unit02/20151118221304_1:46:56,unit02,22h,Nov14,0
unit02/20151118221304_3:46:56,unit02,06h,Nov14,0
unit02/20151118221304_5:46:56,unit02,08h,Nov14,0
unit02/20151118221304_7:46:56,unit02,10h,Nov14,0
unit02/20150915234521_0:14:39,unit02,22h,Sep14,3
unit02/20150915234521_2:14:39,unit02,06h,Sep14,3
unit02/20150915234521_4:14:39,unit02,08h,Sep14,3
unit02/20150915234521_6:14:39,unit02,10h,Sep14,3
unit02/20150814004103_1:18:57,unit02,06h,Aug7,9
unit02/20150814004103_3:18:57,unit02,08h,Aug7,9
unit02/20150814004103_5:18:57,unit02,10h,Aug7,9
unit02/20150901001202_1:47:58,unit02,06h,Sep1,6
unit02/20150901001202_3:47:58,unit02,08h,Sep1,9
unit02/20150901001202_5:47:58,unit02,10h,Sep1,9
unit02/20150911235204_0:07:55,unit02,22h,Sep7,3
unit02/20150911235204_2:07:55,unit02,06h,Sep7,3
unit02/20150911235204_4:07:55,unit02,08h,Sep7,3
unit02/20150911235204_6:07:55,unit02,10h,Sep7,3
unit02/20150815004022_1:19:38,unit02,06h,Aug14,9
unit02/20150815004022_3:19:38,unit02,08h,Aug14,9
unit02/20150815004022_5:19:38,unit02,10h,Aug14,9
unit02/20151011230004_0:59:55,unit02,22h,Oct7,0
unit02/20151011230004_2:59:55,unit02,06h,Oct7,8
unit02/20151011230004_4:59:55,unit02,08h,Oct7,5
unit02/20151011230004_6:59:55,unit02,10h,Oct7,5
unit02/20151025223903_1:20:57,unit02,22h,Oct21,5
unit02/20151025223903_3:20:57,unit02,06h,Oct21,5
unit02/20151025223903_5:20:57,unit02,08h,Oct21,5
unit02/20151025223903_7:20:57,unit02,10h,Oct21,5
unit02/20150820003203_1:27:57,unit02,06h,Aug14,8
unit02/20150820003203_3:27:57,unit02,08h,Aug14,0
unit02/20150820003203_5:27:57,unit02,10h,Aug14,8
unit02/20151024224002_1:19:58,unit02,22h,Oct21,0
unit02/20151024224002_3:19:58,unit02,06h,Oct21,0
unit02/20151024224002_5:19:58,unit02,08h,Oct21,7
unit02/20151024224002_7:19:58,unit02,10h,Oct21,0
unit02/20150830001502_1:44:58,unit02,06h,Aug21,3
unit02/20150830001502_3:44:58,unit02,08h,Aug21,3
unit02/20150830001502_5:44:58,unit02,10h,Aug21,9
unit02/20150831001303_1:46:57,unit02,06h,Aug21,3
unit02/20150831001303_3:46:57,unit02,08h,Aug21,9
unit02/20150831001303_5:46:57,unit02,10h,Aug21,9
unit02/20151015225303_1:06:57,unit02,22h,Oct14,8
unit02/20151015225303_3:06:57,unit02,06h,Oct14,0
unit02/20151015225303_5:06:57,unit02,08h,Oct14,0
unit02/20151015225303_7:06:57,unit02,10h,Oct14,5
unit02/20151030223203_1:27:56,unit02,22h,Oct21,5
unit02/20151030223203_3:27:56,unit02,06h,Oct21,5
unit02/20151030223203_5:27:56,unit02,08h,Oct21,5
unit02/20151030223203_7:27:56,unit02,10h,Oct21,5
unit02/20151009230311_0:56:48,unit02,22h,Oct7,0
unit02/20151009230311_2:56:48,unit02,06h,Oct7,5
unit02/20151009230311_4:56:48,unit02,08h,Oct7,5
unit02/20151009230311_6:56:48,unit02,10h,Oct7,5
unit02/20151121221103_1:48:57,unit02,22h,Nov21,0
unit02/20151121221103_3:48:57,unit02,06h,Nov21,0
unit02/20151121221103_5:48:57,unit02,08h,Nov21,0
unit02/20151121221103_7:48:57,unit02,10h,Nov21,0
unit02/20150825002402_1:35:58,unit02,06h,Aug21,9
unit02/20150825002402_3:35:58,unit02,08h,Aug21,9
unit02/20150825002402_5:35:58,unit02,10h,Aug21,9
unit02/20150917234102_0:18:58,unit02,22h,Sep14,6
unit02/20150917234102_2:18:58,unit02,06h,Sep14,6
