in,out
20151109222103_3:38:56_fold-unit02_utc-06h_week-Nov7_cluster-0.wav,2015-11-10_01-59-59_unit02.wav
20151102222802_5:31:58_fold-unit02_utc-08h_week-Nov1_cluster-5.wav,2015-11-03_04-00-00_unit02.wav
20150908235803_2:01:57_fold-unit02_utc-06h_week-Sep7_cluster-2.wav,2015-09-09_02-00-00_unit02.wav
20151006230802_0:51:58_fold-unit-01-10_utc-22h_week-Oct1_cluster-8.wav,2015-10-07_00-00-00_unit01.wav
20151004231103_4:48:57_fold-unit07_utc-08h_week-Oct1_cluster-4.wav,2015-10-05_04-00-00_unit07.wav
20151010230103_4:58:57_fold-unit07_utc-08h_week-Oct7_cluster-4.wav,2015-10-11_04-00-00_unit07.wav
20150902001106_1:48:54_fold-unit03_utc-06h_week-Sep1_cluster-3.wav,2015-09-02_02-00-00_unit03.wav
20150917234102_2:18:58_fold-unit02_utc-06h_week-Sep14_cluster-6.wav,2015-09-18_02-00-00_unit02.wav
20151018224902_5:10:58_fold-unit08_utc-08h_week-Oct14_cluster-7.wav,2015-10-19_04-00-00_unit08.wav
20151116221404_7:45:55_fold-unit-04-06_utc-10h_week-Nov14_cluster-5.wav,2015-11-17_05-59-59_unit06.wav
20151001231703_4:42:56_fold-unit03_utc-08h_week-Oct1_cluster-5.wav,2015-10-02_03-59-59_unit03.wav
20151001231702_2:42:58_fold-unit05_utc-06h_week-Oct1_cluster-8.wav,2015-10-02_02-00-00_unit05.wav
20150827002002_1:39:58_fold-unit02_utc-06h_week-Aug21_cluster-9.wav,2015-08-27_02-00-00_unit02.wav
20151008230503_2:54:57_fold-unit08_utc-06h_week-Oct7_cluster-7.wav,2015-10-09_02-00-00_unit08.wav
20151016225202_1:07:58_fold-unit-01-10_utc-22h_week-Oct14_cluster-8.wav,2015-10-17_00-00-00_unit01.wav
20150912235102_2:08:58_fold-unit08_utc-06h_week-Sep7_cluster-1.wav,2015-09-13_02-00-00_unit08.wav
20151123220905_5:50:55_fold-unit-04-06_utc-08h_week-Nov21_cluster-5.wav,2015-11-24_04-00-00_unit06.wav
20150816003902_3:20:58_fold-unit07_utc-08h_week-Aug14_cluster-5.wav,2015-08-16_04-00-00_unit07.wav
20151013225702_3:02:58_fold-unit08_utc-06h_week-Oct7_cluster-7.wav,2015-10-14_02-00-00_unit08.wav
20150916234403_0:15:56_fold-unit08_utc-22h_week-Sep14_cluster-3.wav,2015-09-16_23-59-59_unit08.wav
20151020224602_1:13:58_fold-unit08_utc-22h_week-Oct14_cluster-5.wav,2015-10-21_00-00-00_unit08.wav
20151029230315_6:56:44_fold-unit03_utc-10h_week-Oct21_cluster-5.wav,2015-10-30_05-59-59_unit03.wav
20151003231320_2:46:40_fold-unit08_utc-06h_week-Oct1_cluster-5.wav,2015-10-04_02-00-00_unit08.wav
20151027223602_7:23:58_fold-unit05_utc-10h_week-Oct21_cluster-0.wav,2015-10-28_06-00-00_unit05.wav
20151011225904_5:00:55_fold-unit-04-06_utc-08h_week-Oct7_cluster-5.wav,2015-10-12_03-59-59_unit06.wav
20151017225003_7:09:57_fold-unit-01-10_utc-10h_week-Oct14_cluster-8.wav,2015-10-18_06-00-00_unit01.wav
20151113221702_5:42:58_fold-unit07_utc-08h_week-Nov7_cluster-4.wav,2015-11-14_04-00-00_unit07.wav
20150827002002_5:39:58_fold-unit02_utc-10h_week-Aug21_cluster-9.wav,2015-08-27_06-00-00_unit02.wav
20151021224503_3:14:57_fold-unit03_utc-06h_week-Oct21_cluster-8.wav,2015-10-22_02-00-00_unit03.wav
20150827002102_1:38:58_fold-unit05_utc-06h_week-Aug21_cluster-3.wav,2015-08-27_02-00-00_unit05.wav
20150821003102_5:28:58_fold-unit07_utc-10h_week-Aug14_cluster-9.wav,2015-08-21_06-00-00_unit07.wav
20150911235204_2:07:55_fold-unit02_utc-06h_week-Sep7_cluster-3.wav,2015-09-12_01-59-59_unit02.wav
20150830001602_1:43:58_fold-unit08_utc-06h_week-Aug21_cluster-9.wav,2015-08-30_02-00-00_unit08.wav
20150922233302_6:26:58_fold-unit07_utc-10h_week-Sep21_cluster-4.wav,2015-09-23_06-00-00_unit07.wav
20151009230311_4:56:48_fold-unit02_utc-08h_week-Oct7_cluster-5.wav,2015-10-10_03-59-59_unit02.wav
20151018224902_3:10:58_fold-unit07_utc-06h_week-Oct14_cluster-4.wav,2015-10-19_02-00-00_unit07.wav
20151006230804_4:51:56_fold-unit02_utc-08h_week-Oct1_cluster-0.wav,2015-10-07_04-00-00_unit02.wav
20151111221902_1:40:58_fold-unit08_utc-22h_week-Nov7_cluster-7.wav,2015-11-12_00-00-00_unit08.wav
20151022224402_7:15:58_fold-unit03_utc-10h_week-Oct21_cluster-0.wav,2015-10-23_06-00-00_unit03.wav
20150815004003_3:19:57_fold-unit-01-10_utc-08h_week-Aug14_cluster-8.wav,2015-08-15_04-00-00_unit01.wav
20151028223503_5:24:57_fold-unit07_utc-08h_week-Oct21_cluster-0.wav,2015-10-29_04-00-00_unit07.wav
20151019224804_3:11:55_fold-unit03_utc-06h_week-Oct14_cluster-0.wav,2015-10-20_01-59-59_unit03.wav
20150831001303_5:46:57_fold-unit02_utc-10h_week-Aug21_cluster-9.wav,2015-08-31_06-00-00_unit02.wav
20151012225804_5:01:56_fold-unit-04-06_utc-08h_week-Oct7_cluster-5.wav,2015-10-13_04-00-00_unit06.wav
20151025223804_1:21:56_fold-unit-04-06_utc-22h_week-Oct21_cluster-5.wav,2015-10-26_00-00-00_unit06.wav
20150803005802_3:01:58_fold-unit-04-06_utc-08h_week-Aug1_cluster-7.wav,2015-08-03_04-00-00_unit04.wav
20150920233603_2:23:56_fold-unit08_utc-06h_week-Sep14_cluster-7.wav,2015-09-21_01-59-59_unit08.wav
20151104222602_1:33:58_fold-unit07_utc-22h_week-Nov1_cluster-4.wav,2015-11-05_00-00-00_unit07.wav
20151020224602_3:13:58_fold-unit05_utc-06h_week-Oct14_cluster-5.wav,2015-10-21_02-00-00_unit05.wav
20150907000105_5:58:55_fold-unit07_utc-10h_week-Sep1_cluster-2.wav,2015-09-07_06-00-00_unit07.wav
20151108222202_5:37:58_fold-unit08_utc-08h_week-Nov7_cluster-7.wav,2015-11-09_04-00-00_unit08.wav
20151114221604_1:43:56_fold-unit02_utc-22h_week-Nov14_cluster-5.wav,2015-11-15_00-00-00_unit02.wav
20150920233603_6_23_56_fold-unit08_utc-10h_week-Sep14_cluster-7.wav,2015-09-21_05-59-59_unit08.wav
20150815004003_5:19:57_fold-unit_01_10_utc-10h_week-Aug14_cluster-8.wav,2015-08-15_06-00-00_unit01.wav
20151018224902_1_10_58_fold-unit07_utc-22h_week-Oct14_cluster-4.wav,2015-10-19_00-00-00_unit07.wav
20151114221604_1_43_56_fold-unit-04-06_utc-22h_week-Nov14_cluster-5.wav,2015-11-15_00-00-00_unit06.wav
20150824211215_0:47:45_fold-unit-04-06_utc-22h_week-Aug21_cluster-7.wav,2015-08-24_22-00-00_unit04.wav
20150826024815_1:11:45_fold-unit08_utc-08h_week-Aug21_cluster-9.wav,2015-08-26_04-00-00_unit08.wav
20151028223604_1:23:55_fold-unit03_utc-22h_week-Oct21_cluster-1.wav,2015-10-28_23-59-59_unit03.wav
20150924232902_2_30_58_fold-unit-01-10_utc-06h_week-Sep21_cluster-8.wav,2015-09-25_02-00-00_unit01.wav
20151023224002_1:19:58_fold-unit-01-10_utc-22h_week-Oct21_cluster-6.wav,2015-10-24_00-00-00_unit10.wav
